fold,method,biomarker,metric_scope,trajectory_coverage,mean_width,median_width,mean_absolute_error,n_test_subjects
4,joint_cp,ventricle_right,biomarker,0.991304347826087,1.5193576336404992,1.3715981052642867,0.11333579,230
4,joint_cp,ventricle_left,biomarker,0.991304347826087,1.4343115290395203,1.2783262412185614,0.109214686,230
4,raw_dkgp,hippocampus_right,biomarker,0.0782608695652174,0.14250513026185924,0.12973937340649125,0.15884686,230
4,raw_dkgp,hippocampus_left,biomarker,0.043478260869565216,0.11994777439038752,0.10921653889740428,0.17059459,230
4,raw_dkgp,ventricle_right,biomarker,0.10434782608695652,0.12662328237662945,0.11430900161010016,0.11333579,230
4,raw_dkgp,ventricle_left,biomarker,0.14782608695652175,0.11953553905702718,0.10653572340531181,0.109214686,230
4,single_cp,hippocampus_right,biomarker,0.8695652173913043,1.1120502582759575,1.0124316467774523,0.15884686,230
4,single_cp,hippocampus_left,biomarker,0.9043478260869565,1.3086001376126852,1.1915250496067387,0.17059459,230
4,single_cp,ventricle_right,biomarker,0.9217391304347826,0.807139145583021,0.7286438019952417,0.11333579,230
4,single_cp,ventricle_left,biomarker,0.8739130434782608,0.6994890111090989,0.6234176747805709,0.109214686,230
5,bonferroni_cp,hippocampus_right,biomarker,0.9826086956521739,1.6158467959441107,1.4455457497640083,0.15423243,230
5,bonferroni_cp,hippocampus_left,biomarker,0.9652173913043478,1.6514718250672236,1.4887239095212337,0.16354926,230
5,bonferroni_cp,ventricle_right,biomarker,0.9782608695652174,1.0462447856272994,0.9571019903624318,0.09448036,230
5,bonferroni_cp,ventricle_left,biomarker,0.9869565217391304,1.159912886721191,1.0546448574337646,0.10195805,230
5,joint_cp,hippocampus_right,biomarker,0.9739130434782609,1.4801685834922698,1.324167247892646,0.15423243,230
5,joint_cp,hippocampus_left,biomarker,0.9043478260869565,1.2208563651843654,1.1005443952198029,0.16354926,230
5,joint_cp,ventricle_right,biomarker,0.9826086956521739,1.2318147035282518,1.1268608653544874,0.09448036,230
5,joint_cp,ventricle_left,biomarker,0.991304347826087,1.208301310193178,1.0986417838911606,0.10195805,230
5,raw_dkgp,hippocampus_right,biomarker,0.0391304347826087,0.1455161742720211,0.13017959856641909,0.15423243,230
5,raw_dkgp,hippocampus_left,biomarker,0.030434782608695653,0.12002304979215371,0.10819511493147244,0.16354926,230
5,raw_dkgp,ventricle_right,biomarker,0.16521739130434782,0.12110036996362936,0.11078230134864941,0.09448036,230
5,raw_dkgp,ventricle_left,biomarker,0.12173913043478261,0.11878875554319597,0.1080080681823668,0.10195805,230
5,single_cp,hippocampus_right,biomarker,0.8695652173913043,1.1039061894017927,0.9875607664249983,0.15423243,230
5,single_cp,hippocampus_left,biomarker,0.8913043478260869,1.1624526143174063,1.0478961701628453,0.16354926,230
