model,fold,method,biomarker,scope,coverage,pointwise_coverage,mean_width,mean_normalized_width,mean_absolute_error,n_test_subjects
gam,4,raw,ALL_JOINT,joint,0.2565217391304348,,,0.43494936054703726,,230
gam,4,single_cp,ALL_JOINT,joint,0.7608695652173914,,,0.9196154134943662,,230
gam,5,bonferroni_cp,hippocampus_left,biomarker,0.9782608695652174,0.9942753623188406,1.915989875793457,1.9017142240520972,0.15725160380758343,230
gam,5,bonferroni_cp,hippocampus_right,biomarker,0.9956521739130435,0.9989130434782608,1.8894121646881104,1.8782075476281694,0.14600329149521327,230
gam,5,bonferroni_cp,ventricle_left,biomarker,0.9782608695652174,0.9953260869565218,1.5750913619995117,1.5690048947002362,0.09501727395204275,230
gam,5,bonferroni_cp,ventricle_right,biomarker,0.9826086956521739,0.9955072463768116,1.7423677444458008,1.7157433341393955,0.09960707761314105,230
gam,5,joint_cp,hippocampus_left,biomarker,0.9652173913043478,0.990212215320911,1.711931750311154,1.6991764942520384,0.15725160380758343,230
gam,5,joint_cp,hippocampus_right,biomarker,0.9826086956521739,0.9968944099378881,1.660250306954417,1.6504046685803548,0.14600329149521327,230
gam,5,joint_cp,ventricle_left,biomarker,0.9608695652173913,0.9901035196687371,1.1187567710876465,1.1144336716996694,0.09501727395204275,230
gam,5,joint_cp,ventricle_right,biomarker,0.9608695652173913,0.9912836438923396,1.1346679267796276,1.1173295293371819,0.09960707761314105,230
gam,5,raw,hippocampus_left,biomarker,0.5130434782608696,0.8194075851684547,0.5287143595583169,0.5247750161603852,0.15725160380758343,230
gam,5,raw,hippocampus_right,biomarker,0.5130434782608696,0.8126998243302591,0.512753021601684,0.5097122868373226,0.14600329149521327,230
gam,5,raw,ventricle_left,biomarker,0.6130434782608696,0.8568351214003387,0.34551772850735807,0.3441825790635758,0.09501727395204275,230
gam,5,raw,ventricle_right,biomarker,0.6217391304347826,0.8504192546583851,0.35043174245095693,0.3450769380331499,0.09960707761314105,230
gam,5,single_cp,hippocampus_left,biomarker,0.9565217391304348,0.9877277432712216,1.2953332364559174,1.2856819713807326,0.15725160380758343,230
gam,5,single_cp,hippocampus_right,biomarker,0.9391304347826087,0.985139751552795,1.2045671939849854,1.1974238536467499,0.14600329149521327,230
gam,5,single_cp,ventricle_left,biomarker,0.9173913043478261,0.9786180124223602,0.7744708061218262,0.7714780963975344,0.09501727395204275,230
gam,5,single_cp,ventricle_right,biomarker,0.9217391304347826,0.9796169772256729,0.7861299514770508,0.7741174205696121,0.09960707761314105,230
gam,5,bonferroni_cp,ALL_JOINT,joint,0.9652173913043478,,,1.7661675001299748,,230
gam,5,joint_cp,ALL_JOINT,joint,0.9347826086956522,,,1.3953360909673111,,230
gam,5,raw,ALL_JOINT,joint,0.2782608695652174,,,0.4309367050236084,,230
gam,5,single_cp,ALL_JOINT,joint,0.8478260869565217,,,1.0071753354986572,,230
gam,6,bonferroni_cp,hippocampus_left,biomarker,0.9869565217391304,0.9978260869565218,2.242702066898346,2.2276885660787507,0.15389142666399347,230
gam,6,bonferroni_cp,hippocampus_right,biomarker,0.9869565217391304,0.9963405797101449,2.1969006061553955,2.1895847699722313,0.1542908258074285,230
gam,6,bonferroni_cp,ventricle_left,biomarker,0.9565217391304348,0.9863146997929606,1.4281930923461914,1.4249728666980273,0.10646616335583267,230
gam,6,bonferroni_cp,ventricle_right,biomarker,0.9652173913043478,0.990515873015873,1.9214515686035156,1.91639273158928,0.10893927127255502,230
gam,6,joint_cp,hippocampus_left,biomarker,0.9608695652173913,0.9939042599912166,1.720554530620575,1.7090364840476946,0.15389142666399347,230
gam,6,joint_cp,hippocampus_right,biomarker,0.9695652173913043,0.9929984628897672,1.6577566273153863,1.652236179151726,0.1542908258074285,230
gam,6,joint_cp,ventricle_left,biomarker,0.9347826086956522,0.9807487922705314,1.1357748095084528,1.1332139154726824,0.10646616335583267,230
gam,6,joint_cp,ventricle_right,biomarker,0.9347826086956522,0.9789009661835748,1.1453576080042844,1.1423420870530487,0.10893927127255502,230
gam,6,raw,hippocampus_left,biomarker,0.5043478260869565,0.8119533847794717,0.5195396681351667,0.5160616719499013,0.15389142666399347,230
gam,6,raw,hippocampus_right,biomarker,0.43478260869565216,0.780935284522241,0.5005771759490023,0.49891021814216613,0.1542908258074285,230
gam,6,raw,ventricle_left,biomarker,0.6478260869565218,0.8457549093418658,0.34295923616874363,0.34218594708444267,0.10646616335583267,230
gam,6,raw,ventricle_right,biomarker,0.6521739130434783,0.8414674697283392,0.34585286369505913,0.34494229519730013,0.10893927127255502,230
gam,6,single_cp,hippocampus_left,biomarker,0.9260869565217391,0.982364953886693,1.292234182357788,1.2835834751406814,0.15389142666399347,230
