fold,method,biomarker,metric_scope,trajectory_coverage,mean_width,median_width,mean_absolute_error,n_test_subjects
2,bonferroni_cp,ventricle_right,biomarker,0.9478260869565217,1.1103459743066768,0.9709661653002541,0.11043057,230
2,bonferroni_cp,ventricle_left,biomarker,0.9434782608695652,0.9438772149106289,0.8423014765646997,0.1123057,230
2,joint_cp,hippocampus_right,biomarker,0.9434782608695652,1.250898920222113,1.0916508217538166,0.16501568,230
2,joint_cp,hippocampus_left,biomarker,0.8826086956521739,1.2235066368690029,1.0729401950065949,0.16952762,230
2,joint_cp,ventricle_right,biomarker,0.9478260869565217,1.1103459743066768,0.9709661653002541,0.11043057,230
2,joint_cp,ventricle_left,biomarker,0.9826086956521739,1.2919229387781606,1.1528921153623628,0.1123057,230
2,raw_dkgp,hippocampus_right,biomarker,0.021739130434782608,0.1205891320751048,0.10523730014971397,0.16501568,230
2,raw_dkgp,hippocampus_left,biomarker,0.021739130434782608,0.11794846173659305,0.10343355869342749,0.16952762,230
2,raw_dkgp,ventricle_right,biomarker,0.08695652173913043,0.10703954986303281,0.09360306037122486,0.11043057,230
2,raw_dkgp,ventricle_left,biomarker,0.13478260869565217,0.12454392867132243,0.11114108208127085,0.1123057,230
2,single_cp,hippocampus_right,biomarker,0.8608695652173913,1.0453202236157944,0.912243717424781,0.16501568,230
2,single_cp,hippocampus_left,biomarker,0.8608695652173913,1.1911339544913835,1.04455134030286,0.16952762,230
2,single_cp,ventricle_right,biomarker,0.9130434782608695,0.7296131288714515,0.6380260551990489,0.11043057,230
2,single_cp,ventricle_left,biomarker,0.8434782608695652,0.6293556270285148,0.5616272599403871,0.1123057,230
3,bonferroni_cp,hippocampus_right,biomarker,0.9391304347826087,1.53623164690028,1.3241179444670337,0.17255846,230
3,bonferroni_cp,hippocampus_left,biomarker,1.0,5.289767249061406,4.678054523040487,0.16353108,230
3,bonferroni_cp,ventricle_right,biomarker,0.9304347826086956,0.8396556744497745,0.733262869611945,0.107847184,230
3,bonferroni_cp,ventricle_left,biomarker,0.908695652173913,0.8397261793827703,0.7351365995773058,0.10827109,230
3,joint_cp,hippocampus_right,biomarker,0.9130434782608695,1.281969454508817,1.1049627589685542,0.17255846,230
3,joint_cp,hippocampus_left,biomarker,0.8826086956521739,1.190707547883916,1.0530132173556694,0.16353108,230
3,joint_cp,ventricle_right,biomarker,0.9739130434782609,1.0867139654638607,0.9490163944709593,0.107847184,230
3,joint_cp,ventricle_left,biomarker,0.9782608695652174,1.1721691391204085,1.0261731219286503,0.10827109,230
3,raw_dkgp,hippocampus_right,biomarker,0.043478260869565216,0.12907429965248177,0.11125249026357302,0.17255846,230
3,raw_dkgp,hippocampus_left,biomarker,0.043478260869565216,0.1198856511701569,0.1060219828771706,0.16353108,230
3,raw_dkgp,ventricle_right,biomarker,0.11304347826086956,0.10941512180456901,0.09555112724740833,0.107847184,230
3,raw_dkgp,ventricle_left,biomarker,0.1391304347826087,0.11801912297839282,0.10331960451108424,0.10827109,230
3,single_cp,hippocampus_right,biomarker,0.808695652173913,1.0433104917696812,0.8992564022427239,0.17255846,230
3,single_cp,hippocampus_left,biomarker,0.8739130434782608,1.1336290438253604,1.0025353151139615,0.16353108,230
3,single_cp,ventricle_right,biomarker,0.9130434782608695,0.7575144345551559,0.661529749582618,0.107847184,230
3,single_cp,ventricle_left,biomarker,0.8391304347826087,0.6224863786078833,0.5449544516872784,0.10827109,230
4,bonferroni_cp,hippocampus_right,biomarker,0.9869565217391304,2.0150154191327783,1.8076479357704045,0.15624724,230
4,bonferroni_cp,hippocampus_left,biomarker,0.9652173913043478,1.9393003654489667,1.7131680864843872,0.16755083,230
4,bonferroni_cp,ventricle_right,biomarker,0.9695652173913043,1.0708633419970552,0.9677226925582012,0.10608919,230
4,bonferroni_cp,ventricle_left,biomarker,0.9521739130434783,1.0081690907954952,0.9037992810294426,0.110498235,230
4,joint_cp,hippocampus_right,biomarker,0.9217391304347826,1.328948664898295,1.1921850761232022,0.15624724,230
4,joint_cp,hippocampus_left,biomarker,0.9478260869565217,1.6438882966751016,1.4522025663399347,0.16755083,230
4,joint_cp,ventricle_right,biomarker,0.9739130434782609,1.095185134490369,0.989701921462963,0.10608919,230
4,joint_cp,ventricle_left,biomarker,0.9782608695652174,1.4548919327933911,1.3042755375456494,0.110498235,230
4,raw_dkgp,hippocampus_right,biomarker,0.0782608695652174,0.12166924207380021,0.10914812472060897,0.15624724,230
4,raw_dkgp,hippocampus_left,biomarker,0.06956521739130435,0.15050291135644203,0.132953506972167,0.16755083,230
4,raw_dkgp,ventricle_right,biomarker,0.09130434782608696,0.10026748870253303,0.09061018370683105,0.10608919,230
4,raw_dkgp,ventricle_left,biomarker,0.1608695652173913,0.1331997265491104,0.11941034315326406,0.110498235,230
4,single_cp,hippocampus_right,biomarker,0.8826086956521739,1.061335297836583,0.9521120990330978,0.15624724,230
4,single_cp,hippocampus_left,biomarker,0.9391304347826087,1.5990709513389079,1.412611151250843,0.16755083,230
4,single_cp,ventricle_right,biomarker,0.9260869565217391,0.7927637488637193,0.7164083777321437,0.10608919,230
